Asset,Horizon,Current_Price,P10_Price,P25_Price,Median_Price,P75_Price,P90_Price,Median_Return_%,Probability_Above_Current_%,Annualized_Volatility_%
TSLA,30D,350.25,284.08,316.05,353.25,394.76,438.69,0.86,52.35,58.04
TSLA,3M,350.25,250.61,298.59,362.93,443.15,532.24,3.62,55.21,58.04
TSLA,6M,350.25,219.67,282.72,373.33,493.65,634.85,6.59,56.51,58.04
TSLA,1Y,350.25,188.89,269.3,395.97,584.27,841.16,13.05,58.68,58.04
GOOGL,30D,346.96,317.7,336.01,356.25,377.67,399.21,2.68,62.31,30.5
GOOGL,3M,346.96,310.78,340.75,377.55,419.33,461.71,8.82,71.22,30.5
GOOGL,6M,346.96,309.71,353.63,409.27,473.99,540.99,17.96,77.72,30.5
GOOGL,1Y,346.96,326.32,393.19,481.51,590.74,715.45,38.78,86.16,30.5
BTCUSD,30D,78274.2,66434.58,73434.19,81524.96,90493.27,99923.18,4.15,60.83,54.9
BTCUSD,3M,78274.2,62965.74,74455.98,89566.47,108108.4,128239.9,14.43,69.25,54.9
BTCUSD,6M,78274.2,60986.22,77802.64,100631.47,130907.94,166815.24,28.56,74.42,54.9
BTCUSD,1Y,78274.2,65543.74,91181.7,131914.73,191956.71,267384.23,68.53,82.87,54.9
ETHUSD,30D,2443.16,1924.63,2171.66,2463.27,2793.52,3148.1,0.82,51.91,66.18
ETHUSD,3M,2443.16,1660.33,2032.11,2539.12,3185.59,3913.75,3.93,54.83,66.18
ETHUSD,6M,2443.16,1411.4,1892.98,2581.34,3544.48,4747.38,5.66,54.83,66.18
ETHUSD,1Y,2443.16,1199.9,1786.43,2788.23,4382.43,6534.68,14.12,58.45,66.18
